,date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold
458,2024-01-01,Arunachal Pradesh,2-Wheelers,0,995
459,2024-01-01,Nagaland,2-Wheelers,0,505
460,2024-01-01,Ladakh,4-Wheelers,0,141
461,2024-01-01,Andaman & Nicobar,4-Wheelers,0,177
462,2024-01-01,Nagaland,4-Wheelers,0,877
463,2024-02-01,Arunachal Pradesh,2-Wheelers,0,1117
464,2024-02-01,Nagaland,2-Wheelers,0,763
465,2024-02-01,Ladakh,2-Wheelers,0,4
466,2024-02-01,Mizoram,4-Wheelers,0,494
467,2024-02-01,Ladakh,4-Wheelers,0,47
468,2024-03-01,Arunachal Pradesh,2-Wheelers,0,1259
469,2024-03-01,Ladakh,2-Wheelers,0,11
470,2024-03-01,Mizoram,4-Wheelers,0,463
471,2024-03-01,Nagaland,4-Wheelers,0,1336
472,2024-03-01,Ladakh,4-Wheelers,0,81
473,2021-04-01,DNH and DD,2-Wheelers,1,657
474,2021-04-01,Himachal Pradesh,4-Wheelers,1,3544
475,2021-04-01,Meghalaya,4-Wheelers,1,930
476,2021-05-01,Chandigarh,4-Wheelers,1,413
477,2021-05-01,Haryana,4-Wheelers,1,4373
478,2021-05-01,Himachal Pradesh,4-Wheelers,1,1503
479,2021-05-01,Jharkhand,4-Wheelers,1,2290
480,2021-05-01,Madhya Pradesh,2-Wheelers,1,6302
481,2021-05-01,Meghalaya,4-Wheelers,1,88
482,2021-06-01,Assam,4-Wheelers,1,3842
483,2021-06-01,DNH and DD,4-Wheelers,1,234
